1,9.35808E-08,1.43856E-07,1.0328E-07,2.10657E-07,8.96864E-08,6.35733E-08,4.5843E-08,9.09767E-08,7.3566E-08,2.85489E-08,1.41041E-07,7.70575E-08,1.14512E-07,2.27706E-08,8.09572E-08,2.10157E-07,1.31734E-07,4.83478E-08,8.35477E-08,2.9643E-07,6.86491E-07,1.40086E-07,1.57334E-07,2.30606E-07,3.38619E-07,5.60987E-07,4.09353E-07,4.35643E-07,2.01507E-07,1.10747E-06,8.18598E-07
51,0.006045915,0.007210741,0.006794464,0.009729129,0.007285392,0.006733056,0.006384602,0.008820708,0.008395312,0.006054261,0.012247258,0.0100314,0.012601837,0.006900479,0.011996726,0.017649436,0.015153961,0.011137581,0.01428588,0.023989591,0.032886359,0.019617453,0.021657992,0.025649989,0.031063293,0.037219945,0.035296716,0.037174789,0.029252493,0.052737555,0.049894922
52,0.006384855,0.007605252,0.007175869,0.010256648,0.007702245,0.007127708,0.00676801,0.009333145,0.008890258,0.006431187,0.012950557,0.010629201,0.013340866,0.007342797,0.012719037,0.018657212,0.016045024,0.011834053,0.015155673,0.02535051,0.034655425,0.020788395,0.022947493,0.027145919,0.032839269,0.039279663,0.037299231,0.039279875,0.030995545,0.055544563,0.052616875
53,0.006735731,0.008013127,0.007570725,0.010801748,0.008134228,0.007537224,0.007166395,0.009864589,0.009403983,0.006823647,0.013679412,0.011250017,0.014107611,0.007804117,0.013469539,0.019701119,0.016969562,0.012559288,0.016059912,0.026759459,0.036481468,0.022004149,0.02428607,0.028696835,0.034678257,0.041408456,0.039371678,0.041458128,0.032804556,0.05843869,0.055426955
54,0.00709872,0.008434545,0.007979229,0.011364649,0.008581578,0.007961858,0.007580034,0.010415353,0.009936807,0.00723196,0.014434214,0.011894253,0.014902523,0.008284861,0.014248736,0.02078167,0.017928116,0.013313866,0.016999222,0.028217062,0.038365011,0.023265448,0.025674502,0.03030352,0.036581043,0.043607009,0.041514858,0.04371036,0.034680505,0.061420447,0.058325814
55,0.007473997,0.008869684,0.008401578,0.011945572,0.009044533,0.008401863,0.008009204,0.010985744,0.010489052,0.007656444,0.015215348,0.01256231,0.015726051,0.008785449,0.015057126,0.021899373,0.018921218,0.014098362,0.017974223,0.029723932,0.040306557,0.024573011,0.027113558,0.03196674,0.038548388,0.045875982,0.043729542,0.04603735,0.036624349,0.064490294,0.061314058
56,0.007861735,0.009318718,0.008837968,0.012544731,0.009523325,0.008857489,0.008454178,0.011576066,0.011061037,0.008097418,0.016023194,0.013254586,0.016578638,0.009306303,0.015895205,0.023054724,0.019949396,0.014913348,0.018985528,0.031280668,0.042306587,0.02592755,0.028603992,0.033687244,0.040581028,0.048216001,0.046016473,0.048439845,0.038637021,0.067648645,0.064392243
57,0.008262108,0.009781821,0.009288593,0.013162341,0.010018186,0.009328985,0.008915228,0.012186623,0.011653076,0.0085552,0.016858131,0.013971476,0.017460722,0.009847841,0.016763464,0.024248213,0.021013169,0.015759395,0.020033748,0.032887851,0.044365561,0.027329762,0.030146544,0.03546576,0.042679676,0.050627665,0.048376362,0.050918557,0.040719427,0.070895864,0.067560875
58,0.008675284,0.010259165,0.009753643,0.013798611,0.010529348,0.009816599,0.009392628,0.012817716,0.012265484,0.009030105,0.017720529,0.014713372,0.018372738,0.010410485,0.01766239,0.025480319,0.022113052,0.016637068,0.021119482,0.034546049,0.046483915,0.028780334,0.03174194,0.037303001,0.044845018,0.053111538,0.050809889,0.053474166,0.04287245,0.074232265,0.07082041
59,0.009101435,0.010750919,0.01023331,0.014453749,0.011057038,0.010320578,0.009886647,0.013469641,0.012898572,0.009522451,0.018610756,0.015480663,0.019315114,0.010994652,0.018592464,0.026751516,0.02324955,0.017546929,0.022243326,0.036255815,0.048662066,0.030279941,0.033390891,0.039199658,0.047077716,0.055668156,0.053317702,0.056107316,0.045096942,0.077658113,0.074171253
60,0.009540729,0.01125725,0.010727781,0.01512796,0.011601484,0.010841167,0.010397555,0.014142695,0.01355265,0.010032552,0.019529175,0.016273734,0.020288273,0.011600761,0.019554164,0.028062264,0.024423162,0.018489538,0.023405869,0.038017684,0.050900406,0.031829245,0.035094095,0.041156404,0.049378405,0.05829802,0.055900417,0.058818614,0.047393731,0.081173623,0.077613757
